{\"metric\":\"User.Utilization\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472541600,\"value\":10.98601330576069}
{\"metric\":\"Database.cis_station.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":0.5569235406417272}
{\"metric\":\"Database.cis_station.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":7.773249918427361}
{\"metric\":\"Database.cis_station.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":2.9375002011352924}
{\"metric\":\"Database.cis_photo.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":17.71703626760424}
{\"metric\":\"Database.cis_photo.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":4.139210701338087}
{\"metric\":\"Database.cis_photo.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":17.229740999554984}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":19.295768789311293}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":2.8730321136128367}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":4.030416809343635}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":15.380850204154388}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":7.474531371112421}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":15.610859977359532}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":6.441431034632322}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":10.979708340705972}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":5.819319002813172}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":17.77977703538933}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":0.01911455226901726}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":6.634931245172114}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":6.726557550133849}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":0.7313880904145331}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":3.220515304560465}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":4.845521212151514}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":3.400345765535868}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":5.883974351391714}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":11.996551124457039}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":18.766162258145116}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":3.115296723481351}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":3.9408593053555796}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":0.4957310771137968}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":1.3753967476181495}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":4.158899242945866}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":0.038823446335012335}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":5.330519310769444}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557663,\"value\":9.082450487617354}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557723,\"value\":11.77139921294443}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557783,\"value\":7.278338586925706}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":7.405971397232789}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":8.796755626046357}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":2.1707199299870172}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":6.888191494527318}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":14.392313928136529}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":1.0974966316187018}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":13.14448065772774}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":9.702840995830584}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":1.6301552727079027}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":6.378792171390593}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":4.7106969717551594}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":10.681633474277179}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":9.589067606690678}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":5.709405165091237}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":13.9932851568352}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":5.874783183470802}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":1.957283249660271}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":3.6341518367752323}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":4.728015581594351}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":19.541808101054556}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":0.02231018173405319}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":6.257465654199093}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":3.70909907115033}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":8.053889913667323}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":6.209277909674016}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":4.687848445588725}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":4.006117519354229}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557664,\"value\":6.7624085850633335}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557724,\"value\":12.475870686017348}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557784,\"value\":1.285232255950608}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":17.925540528286433}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":6.191683047952865}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":17.71973204060032}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":14.14153962951258}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":1.4606043294949922}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":4.714736134085715}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":12.436252629218075}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":3.838029566137129}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":6.367854814180962}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":6.296671862834153}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":8.57169118186109}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":5.761289706823652}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":6.028200298233763}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":13.941044196964842}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":17.84860319322305}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":1.1230056025179391}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":6.894830710729691}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":12.150377351004185}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":12.797591359121427}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":0.3169466366050222}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":18.599910640871737}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":15.012770192715061}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":1.31140568899905}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":3.3598575530581942}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":12.686474668957537}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":0.4523092258978667}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":7.744483924565138}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557666,\"value\":3.901250520286601}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557726,\"value\":12.451487557159055}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557786,\"value\":15.731789128125458}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":1.413013370458902}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":15.650359569811293}
{\"metric\":\"Spring.com.srie.cis.service.impl.WSServiceImpl.getDispatchCode\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":4.530558920102969}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":4.472023066163726}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":6.807666380491531}
{\"metric\":\"SpringController.cis.createSerAction.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":3.056806991673242}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":6.624342497057492}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":11.252807487973884}
{\"metric\":\"JSP.ser.listSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":8.913159166513365}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":11.694811234706755}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":5.16117102638129}
{\"metric\":\"JSP.ser.sendSer1.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":6.286383621014071}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":11.73584499299168}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":18.039044606009288}
{\"metric\":\"JSP.ser.applypart.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":11.710017125746266}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":19.70502569124094}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":18.472555999449025}
{\"metric\":\"SpringController.cis.createSer.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":13.183536126846656}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":17.602393043744286}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":2.6801576897127477}
{\"metric\":\"SpringController.ws.getparttype.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":17.710960143362932}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":0.5432864399934201}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":12.491347604940765}
{\"metric\":\"JSP.ser.sendSer.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":0.8911924148243711}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":1.6337226978574093}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":3.6915555250710153}
{\"metric\":\"JSP.ser.addinfo.jsp\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":14.470229602762885}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557667,\"value\":14.788060659011922}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557727,\"value\":9.405789644195416}
{\"metric\":\"SpringController.ws.getpartcode.do (GET)\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557787,\"value\":7.224054566257965}
